1 'em	'em
2 'mongst	'mongst
3 'neath	'neath
4 's	'S
5 'sblood	'sblood
6 'sdeath	'sdeath
7 'snails	'Con Oc Sen
8 'swounds	'swounds
9 't is	khong la
10 't was	'T la
11 'twixt	'twixt
12 'twixt-brain	'twixt-brain
13 -ably	-co le
14 -ana	- co ay
15 -ance	-ance
16 -ances	-ances
17 -ancy	-ancy
18 -ant	- tren
19 -arch	-sao
20 -ard	- cao
21 -art	-My thuat
22 -ate	-an
23 -ation	-ation
24 -barrelled	-cua lo
25 -blast	-last
26 -cae	-cae
27 -ces	-nay
28 -cies	- tien te
29 -derm	-da
30 -dom	-dom
31 -ed	-ed
32 -ee	- cua
33 -ence	-ence
34 -ency	-thoi gian
35 -ent	-ent
36 -escent	-escent
37 -esprits	-cong linh
38 -esque	-esque
39 -ess	-ess
40 -et	-va
41 -ferous	-chinh
42 -fish	-ca
43 -fishes	-ca ca
44 -ful	-ful
45 -fy	-cua toi
46 -gen	-gen
47 -genous	- chi
48 -gerous	- ong gia
49 -gies	-gies
50 -goes	-goes
51 -gos	-gos
52 -gram	-gram
53 -graphy	-mach
54 -grave	-phan mo
55 -head	-cai dau
56 -hood	-mui xe
57 -ible	-co the
58 -ic	-ic
59 -ical	-ical
60 -ics	-ics
61 -ide	- anh ay dang di
62 -ies	-ies
63 -in	-Trong
64 -ine	- voi
65 -ing	-tai
66 -ion	-ion
67 -ise	-neu
68 -ish	-cong viec
69 -ism	-chu nghia
70 -ist	-La
71 -ite	-ite
72 -itis	-no la
73 -ive	-toi co
74 -ize	- hoi
75 -la	-cac
76 -lae	-lop
77 -lea	- day
78 -less	-it hon
79 -let	-de cho
80 -ling	- Gi
81 -lite	-mot chut
82 -lith	-lith
83 -logy	-tinh hoc
84 -ly	-ly
85 -mancy	- mancy
86 -men	-men
87 -ment	-ment
88 -mere	-hon
89 -meter	-Met
90 -metry	-met
91 -mi	-toi
92 -mo	-vi
93 -morphous	-morphous
94 -nea	-Gi
95 -ness	-ness
96 -neums	-neums
97 -nies	- Moi nguoi
98 -prossed	-prossed
99 -prossing	-sang lai
100 -retted	-nhieu
101 -ria	-ria
102 -ric	-ric
103 -ries	-ries
104 -s	-S
105 -scope	-pham vi
106 -ses	-cua anh
107 -ship	-van chuyen
108 -some	-mot so
109 -sporangia	-sporangia
110 -staves	-cua hang
111 -ster	-ster
112 -strucken	-lac
113 -ti	-cua
114 -ties	-ties
115 -tos	- ho
116 -tre	-so ba
117 -trices	-trices
118 -tries	-tries
119 -trixes	-toc
120 -tyla	- Im lang
121 -type	-loai hinh
122 -ums	- doanh so
123 -uret	- dong ho
124 -vetted	-thich
125 -vetting	-tham muon
126 -ward	-khu vuc
127 -wards	-tren
128 -ways	-luon
129 -women	-nhung nguoi phu nu
130 -yl	-yl
131 a 1	mot 1
132 a b c	a b c
133 a fortiori	tu mot manh me hon
134 a mensa et thoro	tu cai ban va cai ban
135 a posteriori	trong hau qua
136 a-	mot-
137 a-mornings	mot buoi sang
138 a-sea	mot vung bien
139 a-tiptoe	kieng chan
